,A4,A4,A4,A4,APOE,APOE,APOE,APOE,TAU,TAU,TAU,TAU
,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG
,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S
AL1L1,0.0935550935550935,0.4782229965156795,0.5380238538133275,0.6065215012583433,-0.2182952182952182,0.1151567944250871,0.3662326293905241,0.3618557829084145,-0.0298719772403982,0.1871080139372822,0.519641098588467,0.2780391727760148
EGFR,0.1401685085895612,0.1183864915572232,0.2784768574242258,0.2029762556078345,0.0913666703140387,0.1028142589118198,0.2861363387679177,0.1180654338549075,-0.5881387460334829,0.0091932457786116,0.3029871977240398,0.1931283510230878
HSPB1,0.0366560892876682,0.3151567944250871,0.5384615384615384,0.4312287996498523,-0.1066856330014224,0.0719512195121951,0.5069482437903491,0.5463398621293358,-0.4178794178794179,0.1200348432055749,0.3165554218185797,0.3204945836524783
K2C8,0.050661998030419,-0.0952961672473867,0.3824269613743298,0.4051865630812999,-0.0622606412080096,-0.2304878048780488,0.2896378159536054,0.1826239194660247,-0.5003829740671846,-0.2217770034843206,0.3154612101980523,-0.0541634752161067
K2C7,0.0764853922748659,-0.0858885017421603,0.4178794178794179,0.4067184593500382,-0.068825910931174,-0.2250871080139373,0.3207134259765839,0.1808731808731808,-0.4957872852609694,-0.2162020905923345,0.2920450815187657,-0.0727650727650727
CLUS,0.0226501805449173,0.2451219512195122,0.5430572272677535,0.3410657621183937,0.2382098697888171,0.4076655052264809,0.7918809497756866,0.6557610241820767,-0.3272786956997483,0.074390243902439,0.3235583761899551,0.4060619323777218
GFAP,0.0044862676441623,0.0625435540069686,0.513732355837619,0.4859393806762227,-0.0939927782033045,-0.3155052264808363,0.3220264799212167,0.2484954590217748,-0.4736842105263157,-0.2141114982578397,0.2714739030528504,0.0097384834226939
FAAA,0.2279242805558594,0.289198606271777,0.59360980413612,0.4393259656417551,0.1012145748987854,0.0538327526132404,0.3235583761899551,0.2530911478279899,-0.5227048911259438,0.1146341463414634,0.3824269613743298,0.3060509902615165
MK01,0.5283947915526863,0.4688153310104531,0.5585950322792428,0.4454535507167086,-0.2233285917496444,0.3513937282229966,0.1552686289528395,0.482437903490535,-0.1200350147718568,0.51602787456446,0.2972972972972972,0.3336251230988072
CAPG,0.1104059525112156,0.1799651567944251,0.4178794178794179,0.4644928329138855,-0.093336251230988,-0.2468641114982579,0.2364591311959733,0.270379691432323,-0.4515811357916621,0.0012195121951219,0.3601050443155706,0.0405952511215669
