,A4,A4,A4,A4,APOE,APOE,APOE,APOE,TAU,TAU,TAU,TAU
,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG
,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value
CAPG,0.8450804624819811,0.6911532938385284,0.1852510330292724,0.1153238636740912,0.8605375392105193,0.5131187762843423,0.5634037878993092,0.4841428359283176,0.1042818098200391,0.9993520160032154,0.2648078434354939,0.9561086392760074
PDK2,0.5499567393938086,0.6399917092809013,0.7292334264077124,0.6183039475737361,0.8844140715425132,0.4485023047505284,0.5263271582313203,0.9760959164384868,0.6415024323992541,0.9528876311785452,0.7697705482330895,0.9267760344456352
SERC,0.9514302587756368,0.30656971957546,0.3927179674414667,0.4080877234437954,0.748140706690181,0.7181833250455824,0.5712342197489633,0.2949698174054491,0.0280787971623407,0.9748063542131168,0.5204848124456376,1.0
AL1L1,0.8721193903309956,0.0776636897746098,0.0400871742396472,0.0111797900261844,0.6024592748501713,0.8046949856160648,0.3235740206305614,0.3286883133507883,0.9702116837572616,0.6713153815630085,0.0428816321082074,0.4521063248483163
EGFR,0.7893581515632999,0.8246525850823566,0.488345093415504,0.6593526678593725,0.8645731684358875,0.8350954211730599,0.4495067928216728,0.8082009969942622,0.0126915117878543,0.9897962439161891,0.391631951755859,0.6751113797646205
HSPB1,0.9562937362884398,0.367590273218224,0.0400335780701152,0.163216338823341,0.8328411810852506,0.8923454345085735,0.1360636838472372,0.0912344045616499,0.1556521000889832,0.826742489736363,0.3604699146215945,0.3514912140579239
K2C8,0.9362164389386284,0.8638485146565913,0.2479636867416069,0.2064516613285994,0.9113379656430936,0.5565340109567924,0.4441346493520539,0.6777458722778277,0.0561050915592233,0.5820021066013408,0.3634289959571427,0.9381721033523476
K2C7,0.8984117480536741,0.8788798190153937,0.1852510330292724,0.203563997710115,0.9007402581900894,0.5679279996812063,0.3899131379848168,0.6827030452268956,0.0593916974190418,0.5959608380245126,0.41682612599649,0.9125782151965348
CLUS,0.9743006480962844,0.54560518899112,0.0372816315665411,0.335298988435884,0.5597648957755718,0.244537390546166,4.617170948375418e-06,0.0085135256797543,0.3382435047972598,0.9060084948062048,0.3453504937431801,0.1752266981198461
GFAP,0.9950249388667192,0.9160290751783569,0.057767097243901,0.0892507033126739,0.8591924662693272,0.3795085749425049,0.388464047689146,0.5347960696762126,0.0812151972661868,0.6019103315978236,0.4709154158417585,0.989299865105266
FAAA,0.608740308537788,0.431767915227848,0.0143634700992256,0.1506969158778832,0.8456108604943366,0.9230401439765968,0.3864860966753367,0.5241093036141764,0.0403961545296634,0.833846933307483,0.2183539878720659,0.3836391791434734
MK01,0.0470678874607707,0.0894464193686546,0.0289888868877567,0.141635867710288,0.5890774999042339,0.3248795530460162,0.7322060263385952,0.1646966406378067,0.832108992467151,0.0331294448446301,0.4049003532616048,0.3238569939099409
PRDX1,0.9570532683892536,0.7889470321456287,0.0142587473432565,0.2300774301031393,0.8950179464553776,0.6832626488931126,0.4399977449841258,0.4439668157664649,0.0270772981342708,0.9001766426025694,0.6188984829608903,0.6365680817757828
PA1B3,0.0300658083572433,0.1262896631800637,0.000785515823766,0.003317572078678,0.6372114139427881,0.6613287527279595,0.4741465434587515,0.2297721383563335,0.3690327375817155,0.7971122932030386,0.1715394086792481,0.433017804951728
KS6A2,0.4940910867843763,0.793084215038447,0.0220510917976123,0.0400335780701152,0.8125894347875618,0.9636246296113116,0.6148331453866425,0.2191678315039101,0.4281373249109125,0.8094968428644782,0.0771681294528974,0.4073358322705161
AL1L2,0.8261729845632269,0.2188122233418442,0.0966165065054677,0.0111797900261844,0.7474054085532672,0.8080003345495147,0.3490753915291662,0.3038280771323665,0.9807238877381714,0.5873730157112105,0.0465965704048593,0.3711652953728002
PLCD3,0.956401131459352,0.6019686999424435,0.0132288853378167,0.1152498357361499,0.9605672597160978,0.6591639364952275,0.5292935654628653,0.5586245098823381,0.0438665912406057,0.7819821090079238,0.0628886207648353,0.5380237902115361
WIPF2,0.7502357712741019,0.9736222389867208,0.2507639740640062,0.1088674438667354,0.6630307932482853,0.3526603038465751,0.3200582765739235,0.5333398260277373,0.1610381982752524,0.6658639895796387,0.7169607218767144,0.8815629561964893
PBIP1,0.4911327687771298,0.3698526813336968,0.1312763613171521,0.0038789672881939,0.7469449204582158,0.925754906453888,0.4836264498157442,0.3656323989928333,0.38430444400544,0.8050200015407543,0.3461918548831956,0.5777382183416664
CMBL,0.8709629365047586,0.9243473857110204,0.360904960829427,0.6861243253233462,0.892322284130496,0.6930553618099272,0.2257711910629657,0.6661967557915436,0.7442916469123881,0.7406881016452646,0.4379907615610328,0.2303357326131406
ICAM1,0.9062125144762058,0.3932094833276676,0.0183802803409778,0.0001256207660942,0.9592229928295548,0.9955638697407264,0.4354112341267216,0.3264221556063846,0.3543515027907077,0.8118805531439034,0.3836391791434734,0.8471236957683149
IRGQ,0.4595166318608312,0.1339038137539493,0.0623307660931779,0.0047000354822215,0.8238557607170315,0.7122243982665993,0.2616526455179283,0.0912344045616499,0.2301330943524622,0.7319473050240857,0.1674448772187323,0.147550256253663
